29.2596 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
47.5629 	EXP 	stim2: color = 'white (named)'
47.5629 	EXP 	stim3: color = 'white (named)'
47.5629 	EXP 	stim4: color = 'white (named)'
47.5629 	EXP 	stim5: color = 'white (named)'
47.5629 	EXP 	stim6: color = 'white (named)'
47.5629 	EXP 	stim7: color = 'white (named)'
47.5629 	EXP 	stim8: color = 'white (named)'
47.5629 	EXP 	page: autoDraw = True
47.5629 	EXP 	stim1: autoDraw = True
47.5629 	EXP 	stim2: autoDraw = True
47.5629 	EXP 	stim3: autoDraw = True
47.5629 	EXP 	stim4: autoDraw = True
47.5629 	EXP 	stim5: autoDraw = True
47.5629 	EXP 	stim6: autoDraw = True
47.5629 	EXP 	stim7: autoDraw = True
47.5629 	EXP 	stim8: autoDraw = True
47.5629 	EXP 	ref: autoDraw = True
47.6182 	EXP 	page: autoDraw = True
47.6471 	EXP 	page: autoDraw = True
47.6642 	EXP 	page: autoDraw = True
47.6816 	EXP 	page: autoDraw = True
47.7468 	EXP 	page: autoDraw = True
47.7647 	EXP 	page: autoDraw = True
47.7818 	EXP 	page: autoDraw = True
47.7982 	EXP 	page: autoDraw = True
47.8629 	EXP 	page: autoDraw = True
47.8789 	EXP 	page: autoDraw = True
47.8954 	EXP 	page: autoDraw = True
47.9131 	EXP 	page: autoDraw = True
47.9631 	EXP 	page: autoDraw = True
47.9802 	EXP 	page: autoDraw = True
47.9968 	EXP 	page: autoDraw = True
48.0124 	EXP 	page: autoDraw = True
48.0288 	EXP 	page: autoDraw = True
48.0973 	EXP 	page: autoDraw = True
48.1134 	EXP 	page: autoDraw = True
48.1304 	EXP 	page: autoDraw = True
48.1479 	EXP 	page: autoDraw = True
48.1960 	EXP 	page: autoDraw = True
48.2122 	EXP 	page: autoDraw = True
48.2290 	EXP 	page: autoDraw = True
48.2482 	EXP 	page: autoDraw = True
48.2646 	EXP 	page: autoDraw = True
48.3128 	EXP 	page: autoDraw = True
48.3293 	EXP 	page: autoDraw = True
48.3464 	EXP 	page: autoDraw = True
48.3656 	EXP 	page: autoDraw = True
48.4212 	EXP 	page: autoDraw = True
48.4464 	EXP 	page: autoDraw = True
48.4654 	EXP 	page: autoDraw = True
48.4838 	EXP 	page: autoDraw = True
48.5408 	EXP 	page: autoDraw = True
48.5631 	EXP 	page: autoDraw = True
48.5807 	EXP 	page: autoDraw = True
48.5988 	EXP 	page: autoDraw = True
48.6155 	EXP 	page: autoDraw = True
48.6632 	EXP 	page: autoDraw = True
48.6805 	EXP 	page: autoDraw = True
48.6969 	EXP 	page: autoDraw = True
48.7123 	EXP 	page: autoDraw = True
48.7289 	EXP 	page: autoDraw = True
48.7795 	EXP 	page: autoDraw = True
48.7963 	EXP 	page: autoDraw = True
48.8143 	EXP 	page: autoDraw = True
48.8319 	EXP 	page: autoDraw = True
48.8495 	EXP 	page: autoDraw = True
48.8960 	EXP 	page: autoDraw = True
48.9129 	EXP 	page: autoDraw = True
48.9298 	EXP 	page: autoDraw = True
48.9462 	EXP 	page: autoDraw = True
48.9655 	EXP 	page: autoDraw = True
49.0304 	EXP 	page: autoDraw = True
49.0472 	EXP 	page: autoDraw = True
49.0647 	EXP 	page: autoDraw = True
49.1215 	EXP 	page: autoDraw = True
49.1469 	EXP 	page: autoDraw = True
49.1643 	EXP 	page: autoDraw = True
49.1802 	EXP 	page: autoDraw = True
49.1968 	EXP 	page: autoDraw = True
49.2469 	EXP 	page: autoDraw = True
49.2645 	EXP 	page: autoDraw = True
49.2817 	EXP 	page: autoDraw = True
49.2973 	EXP 	page: autoDraw = True
49.3128 	EXP 	page: autoDraw = True
49.3629 	EXP 	page: autoDraw = True
49.3802 	EXP 	page: autoDraw = True
49.3972 	EXP 	page: autoDraw = True
49.4136 	EXP 	page: autoDraw = True
49.4333 	EXP 	page: autoDraw = True
49.4791 	EXP 	page: autoDraw = True
49.4966 	EXP 	page: autoDraw = True
49.5134 	EXP 	page: autoDraw = True
49.5306 	EXP 	page: autoDraw = True
49.5468 	EXP 	page: autoDraw = True
49.6137 	EXP 	page: autoDraw = True
49.6302 	EXP 	page: autoDraw = True
49.6630 	EXP 	page: autoDraw = True
49.7130 	EXP 	page: autoDraw = True
49.7296 	EXP 	page: autoDraw = True
49.7463 	EXP 	page: autoDraw = True
49.7635 	EXP 	page: autoDraw = True
49.7798 	EXP 	page: autoDraw = True
49.8297 	EXP 	page: autoDraw = True
49.8469 	EXP 	page: autoDraw = True
49.8637 	EXP 	page: autoDraw = True
49.8804 	EXP 	page: autoDraw = True
49.8988 	EXP 	page: autoDraw = True
49.9460 	EXP 	page: autoDraw = True
49.9638 	EXP 	page: autoDraw = True
49.9807 	EXP 	page: autoDraw = True
49.9965 	EXP 	page: autoDraw = True
50.0126 	EXP 	page: autoDraw = True
50.0627 	EXP 	page: autoDraw = True
50.0791 	EXP 	page: autoDraw = True
50.0955 	EXP 	page: autoDraw = True
50.1118 	EXP 	page: autoDraw = True
50.1285 	EXP 	page: autoDraw = True
50.1787 	EXP 	page: autoDraw = True
50.1960 	EXP 	page: autoDraw = True
50.2123 	EXP 	page: autoDraw = True
50.2286 	EXP 	page: autoDraw = True
50.2466 	EXP 	page: autoDraw = True
50.2960 	EXP 	page: autoDraw = True
50.3127 	EXP 	page: autoDraw = True
50.3297 	EXP 	page: autoDraw = True
50.3469 	EXP 	page: autoDraw = True
50.3646 	EXP 	page: autoDraw = True
50.4302 	EXP 	page: autoDraw = True
50.4470 	EXP 	page: autoDraw = True
50.4654 	EXP 	page: autoDraw = True
50.4829 	EXP 	page: autoDraw = True
50.5298 	EXP 	page: autoDraw = True
50.5466 	EXP 	page: autoDraw = True
50.5647 	EXP 	page: autoDraw = True
50.5810 	EXP 	page: autoDraw = True
50.5990 	EXP 	page: autoDraw = True
50.6462 	EXP 	page: autoDraw = True
50.6636 	EXP 	page: autoDraw = True
50.6805 	EXP 	page: autoDraw = True
50.6966 	EXP 	page: autoDraw = True
50.7128 	EXP 	page: autoDraw = True
50.7804 	EXP 	page: autoDraw = True
50.7986 	EXP 	page: autoDraw = True
50.8297 	EXP 	page: autoDraw = True
50.8968 	EXP 	page: autoDraw = True
50.9133 	EXP 	page: autoDraw = True
50.9304 	EXP 	page: autoDraw = True
50.9494 	EXP 	page: autoDraw = True
50.9968 	EXP 	page: autoDraw = True
51.0139 	EXP 	page: autoDraw = True
51.0314 	EXP 	page: autoDraw = True
51.0484 	EXP 	page: autoDraw = True
51.0966 	EXP 	page: autoDraw = True
51.1164 	EXP 	page: autoDraw = True
51.1323 	EXP 	page: autoDraw = True
51.1485 	EXP 	page: autoDraw = True
51.1654 	EXP 	page: autoDraw = True
51.2143 	EXP 	page: autoDraw = True
51.2305 	EXP 	page: autoDraw = True
51.2475 	EXP 	page: autoDraw = True
51.2652 	EXP 	page: autoDraw = True
51.3285 	EXP 	page: autoDraw = True
51.3462 	EXP 	page: autoDraw = True
51.3638 	EXP 	page: autoDraw = True
51.3809 	EXP 	page: autoDraw = True
51.3981 	EXP 	page: autoDraw = True
51.4467 	EXP 	page: autoDraw = True
51.4640 	EXP 	page: autoDraw = True
51.4808 	EXP 	page: autoDraw = True
51.4969 	EXP 	page: autoDraw = True
51.5143 	EXP 	page: autoDraw = True
51.5628 	EXP 	page: autoDraw = True
51.5809 	EXP 	page: autoDraw = True
51.5981 	EXP 	page: autoDraw = True
51.6154 	EXP 	page: autoDraw = True
51.6323 	EXP 	page: autoDraw = True
51.6795 	EXP 	page: autoDraw = True
51.6967 	EXP 	page: autoDraw = True
51.7152 	EXP 	page: autoDraw = True
51.7324 	EXP 	page: autoDraw = True
51.7899 	EXP 	page: autoDraw = True
51.8129 	EXP 	page: autoDraw = True
51.8302 	EXP 	page: autoDraw = True
51.8482 	EXP 	page: autoDraw = True
51.8662 	EXP 	page: autoDraw = True
51.9130 	EXP 	page: autoDraw = True
51.9301 	EXP 	page: autoDraw = True
51.9466 	EXP 	page: autoDraw = True
51.9637 	EXP 	page: autoDraw = True
51.9799 	EXP 	page: autoDraw = True
52.0296 	EXP 	page: autoDraw = True
52.0471 	EXP 	page: autoDraw = True
52.0646 	EXP 	page: autoDraw = True
52.0964 	EXP 	page: autoDraw = True
52.1463 	EXP 	page: autoDraw = True
52.1638 	EXP 	page: autoDraw = True
52.1805 	EXP 	page: autoDraw = True
52.1985 	EXP 	page: autoDraw = True
52.2144 	EXP 	page: autoDraw = True
52.2628 	EXP 	page: autoDraw = True
52.2801 	EXP 	page: autoDraw = True
52.2973 	EXP 	page: autoDraw = True
52.3147 	EXP 	page: autoDraw = True
52.3316 	EXP 	page: autoDraw = True
52.3791 	EXP 	page: autoDraw = True
52.3966 	EXP 	page: autoDraw = True
52.4128 	EXP 	page: autoDraw = True
52.4292 	EXP 	page: autoDraw = True
52.4453 	EXP 	page: autoDraw = True
52.4961 	EXP 	page: autoDraw = True
52.5123 	EXP 	page: autoDraw = True
52.5289 	EXP 	page: autoDraw = True
52.5456 	EXP 	page: autoDraw = True
52.5642 	EXP 	page: autoDraw = True
52.6126 	EXP 	page: autoDraw = True
52.6294 	EXP 	page: autoDraw = True
52.6467 	EXP 	page: autoDraw = True
52.6640 	EXP 	page: autoDraw = True
52.6809 	EXP 	page: autoDraw = True
52.7295 	EXP 	page: autoDraw = True
52.7469 	EXP 	page: autoDraw = True
52.7641 	EXP 	page: autoDraw = True
52.7812 	EXP 	page: autoDraw = True
52.7997 	EXP 	page: autoDraw = True
52.8459 	EXP 	page: autoDraw = True
52.8630 	EXP 	page: autoDraw = True
52.8787 	EXP 	page: autoDraw = True
52.8950 	EXP 	page: autoDraw = True
52.9114 	EXP 	page: autoDraw = True
52.9626 	EXP 	page: autoDraw = True
52.9792 	EXP 	page: autoDraw = True
52.9956 	EXP 	page: autoDraw = True
53.0137 	EXP 	page: autoDraw = True
53.0295 	EXP 	page: autoDraw = True
53.0787 	EXP 	page: autoDraw = True
53.0957 	EXP 	page: autoDraw = True
53.1121 	EXP 	page: autoDraw = True
53.1314 	EXP 	page: autoDraw = True
53.1475 	EXP 	page: autoDraw = True
53.1955 	EXP 	page: autoDraw = True
53.2122 	EXP 	page: autoDraw = True
53.2286 	EXP 	page: autoDraw = True
53.2480 	EXP 	page: autoDraw = True
53.3103 	EXP 	page: autoDraw = True
53.3298 	EXP 	page: autoDraw = True
53.3466 	EXP 	page: autoDraw = True
53.3662 	EXP 	page: autoDraw = True
53.4223 	EXP 	page: autoDraw = True
53.4465 	EXP 	page: autoDraw = True
53.4643 	EXP 	page: autoDraw = True
53.4836 	EXP 	page: autoDraw = True
53.5348 	EXP 	page: autoDraw = True
53.5633 	EXP 	page: autoDraw = True
53.5818 	EXP 	page: autoDraw = True
53.6001 	EXP 	page: autoDraw = True
53.6635 	EXP 	page: autoDraw = True
53.6798 	EXP 	page: autoDraw = True
53.6969 	EXP 	page: autoDraw = True
53.7131 	EXP 	page: autoDraw = True
53.7626 	EXP 	page: autoDraw = True
53.7791 	EXP 	page: autoDraw = True
53.7954 	EXP 	page: autoDraw = True
53.8141 	EXP 	page: autoDraw = True
53.8300 	EXP 	page: autoDraw = True
53.8793 	EXP 	page: autoDraw = True
53.8954 	EXP 	page: autoDraw = True
53.9116 	EXP 	page: autoDraw = True
53.9294 	EXP 	page: autoDraw = True
53.9454 	EXP 	page: autoDraw = True
53.9956 	EXP 	page: autoDraw = True
54.0122 	EXP 	page: autoDraw = True
54.0287 	EXP 	page: autoDraw = True
54.0476 	EXP 	page: autoDraw = True
54.0644 	EXP 	page: autoDraw = True
54.1120 	EXP 	page: autoDraw = True
54.1281 	EXP 	page: autoDraw = True
54.1449 	EXP 	page: autoDraw = True
54.1618 	EXP 	page: autoDraw = True
54.1786 	EXP 	page: autoDraw = True
54.2290 	EXP 	page: autoDraw = True
54.2461 	EXP 	page: autoDraw = True
54.2632 	EXP 	page: autoDraw = True
54.2837 	EXP 	page: autoDraw = True
54.3335 	EXP 	page: autoDraw = True
54.3631 	EXP 	page: autoDraw = True
54.3802 	EXP 	page: autoDraw = True
54.3967 	EXP 	page: autoDraw = True
54.4635 	EXP 	page: autoDraw = True
54.4811 	EXP 	page: autoDraw = True
54.4994 	EXP 	page: autoDraw = True
54.5165 	EXP 	page: autoDraw = True
54.5632 	EXP 	page: autoDraw = True
54.5806 	EXP 	page: autoDraw = True
54.5971 	EXP 	page: autoDraw = True
54.6132 	EXP 	page: autoDraw = True
54.6293 	EXP 	page: autoDraw = True
54.6796 	EXP 	page: autoDraw = True
54.6965 	EXP 	page: autoDraw = True
54.7134 	EXP 	page: autoDraw = True
54.7330 	EXP 	page: autoDraw = True
54.7937 	EXP 	page: autoDraw = True
54.8128 	EXP 	page: autoDraw = True
54.8296 	EXP 	page: autoDraw = True
54.8496 	EXP 	page: autoDraw = True
54.8666 	EXP 	page: autoDraw = True
54.9144 	EXP 	page: autoDraw = True
54.9310 	EXP 	page: autoDraw = True
54.9476 	EXP 	page: autoDraw = True
54.9658 	EXP 	page: autoDraw = True
54.9821 	EXP 	page: autoDraw = True
55.0296 	EXP 	page: autoDraw = True
55.0471 	EXP 	page: autoDraw = True
55.0650 	EXP 	page: autoDraw = True
55.0966 	EXP 	page: autoDraw = True
55.1464 	EXP 	page: autoDraw = True
55.1635 	EXP 	page: autoDraw = True
55.1797 	EXP 	page: autoDraw = True
55.1960 	EXP 	page: autoDraw = True
55.2123 	EXP 	page: autoDraw = True
55.2628 	EXP 	page: autoDraw = True
55.2806 	EXP 	page: autoDraw = True
55.2993 	EXP 	page: autoDraw = True
55.3160 	EXP 	page: autoDraw = True
55.3320 	EXP 	page: autoDraw = True
55.3791 	EXP 	page: autoDraw = True
55.3970 	EXP 	page: autoDraw = True
55.4135 	EXP 	page: autoDraw = True
55.4295 	EXP 	page: autoDraw = True
55.4475 	EXP 	page: autoDraw = True
55.4958 	EXP 	page: autoDraw = True
55.5122 	EXP 	page: autoDraw = True
55.5289 	EXP 	page: autoDraw = True
55.5462 	EXP 	page: autoDraw = True
55.5626 	EXP 	page: autoDraw = True
55.6124 	EXP 	page: autoDraw = True
55.6289 	EXP 	page: autoDraw = True
55.6462 	EXP 	page: autoDraw = True
55.6621 	EXP 	page: autoDraw = True
55.7142 	EXP 	page: autoDraw = True
55.7304 	EXP 	page: autoDraw = True
55.7466 	EXP 	page: autoDraw = True
55.7646 	EXP 	page: autoDraw = True
55.7810 	EXP 	page: autoDraw = True
55.8469 	EXP 	page: autoDraw = True
55.8637 	EXP 	page: autoDraw = True
55.8804 	EXP 	page: autoDraw = True
55.8962 	EXP 	page: autoDraw = True
55.9459 	EXP 	page: autoDraw = True
55.9625 	EXP 	page: autoDraw = True
55.9785 	EXP 	page: autoDraw = True
55.9952 	EXP 	page: autoDraw = True
56.0114 	EXP 	page: autoDraw = True
56.0623 	EXP 	page: autoDraw = True
56.0797 	EXP 	page: autoDraw = True
56.0956 	EXP 	page: autoDraw = True
56.1146 	EXP 	page: autoDraw = True
56.1724 	EXP 	page: autoDraw = True
56.1965 	EXP 	page: autoDraw = True
56.2129 	EXP 	page: autoDraw = True
56.2306 	EXP 	page: autoDraw = True
56.2482 	EXP 	page: autoDraw = True
56.2964 	EXP 	page: autoDraw = True
56.3136 	EXP 	page: autoDraw = True
56.3302 	EXP 	page: autoDraw = True
56.3478 	EXP 	page: autoDraw = True
56.4050 	EXP 	page: autoDraw = True
56.4295 	EXP 	page: autoDraw = True
56.4472 	EXP 	page: autoDraw = True
56.4646 	EXP 	page: autoDraw = True
56.5176 	EXP 	page: autoDraw = True
56.5466 	EXP 	page: autoDraw = True
56.5652 	EXP 	page: autoDraw = True
56.5818 	EXP 	page: autoDraw = True
56.6466 	EXP 	page: autoDraw = True
56.6635 	EXP 	page: autoDraw = True
56.6821 	EXP 	page: autoDraw = True
56.6987 	EXP 	page: autoDraw = True
56.7464 	EXP 	page: autoDraw = True
56.7646 	EXP 	page: autoDraw = True
56.7811 	EXP 	page: autoDraw = True
56.7972 	EXP 	page: autoDraw = True
56.8132 	EXP 	page: autoDraw = True
56.8628 	EXP 	page: autoDraw = True
56.8802 	EXP 	page: autoDraw = True
56.8972 	EXP 	page: autoDraw = True
56.9158 	EXP 	page: autoDraw = True
56.9326 	EXP 	page: autoDraw = True
56.9791 	EXP 	page: autoDraw = True
56.9968 	EXP 	page: autoDraw = True
57.0133 	EXP 	page: autoDraw = True
57.0292 	EXP 	page: autoDraw = True
57.0468 	EXP 	page: autoDraw = True
57.1135 	EXP 	page: autoDraw = True
57.1309 	EXP 	page: autoDraw = True
57.1496 	EXP 	page: autoDraw = True
57.1664 	EXP 	page: autoDraw = True
57.2129 	EXP 	page: autoDraw = True
57.2301 	EXP 	page: autoDraw = True
57.2470 	EXP 	page: autoDraw = True
57.2632 	EXP 	page: autoDraw = True
57.2813 	EXP 	page: autoDraw = True
57.3294 	EXP 	page: autoDraw = True
57.3469 	EXP 	page: autoDraw = True
57.3643 	EXP 	page: autoDraw = True
57.3820 	EXP 	page: autoDraw = True
57.4372 	EXP 	page: autoDraw = True
57.4632 	EXP 	page: autoDraw = True
57.4803 	EXP 	page: autoDraw = True
57.4972 	EXP 	page: autoDraw = True
57.5502 	EXP 	page: autoDraw = True
57.5664 	EXP 	page: autoDraw = True
57.5827 	EXP 	page: autoDraw = True
57.6131 	EXP 	page: autoDraw = True
57.6648 	EXP 	page: autoDraw = True
57.6813 	EXP 	page: autoDraw = True
57.6980 	EXP 	page: autoDraw = True
57.7134 	EXP 	page: autoDraw = True
57.7295 	EXP 	page: autoDraw = True
57.7791 	EXP 	page: autoDraw = True
57.7961 	EXP 	page: autoDraw = True
57.8127 	EXP 	page: autoDraw = True
57.8297 	EXP 	page: autoDraw = True
57.8501 	EXP 	page: autoDraw = True
57.9138 	EXP 	page: autoDraw = True
57.9317 	EXP 	page: autoDraw = True
57.9479 	EXP 	page: autoDraw = True
57.9653 	EXP 	page: autoDraw = True
58.0122 	EXP 	page: autoDraw = True
58.0289 	EXP 	page: autoDraw = True
58.0456 	EXP 	page: autoDraw = True
58.0615 	EXP 	page: autoDraw = True
58.0780 	EXP 	page: autoDraw = True
58.1286 	EXP 	page: autoDraw = True
58.1454 	EXP 	page: autoDraw = True
58.1622 	EXP 	page: autoDraw = True
58.1790 	EXP 	page: autoDraw = True
58.1966 	EXP 	page: autoDraw = True
58.2457 	EXP 	page: autoDraw = True
58.2627 	EXP 	page: autoDraw = True
58.2798 	EXP 	page: autoDraw = True
58.2965 	EXP 	page: autoDraw = True
58.3135 	EXP 	page: autoDraw = True
58.3629 	EXP 	page: autoDraw = True
58.3803 	EXP 	page: autoDraw = True
58.3963 	EXP 	page: autoDraw = True
58.4121 	EXP 	page: autoDraw = True
58.4285 	EXP 	page: autoDraw = True
58.4795 	EXP 	page: autoDraw = True
58.4963 	EXP 	page: autoDraw = True
58.5130 	EXP 	page: autoDraw = True
58.5300 	EXP 	page: autoDraw = True
58.5460 	EXP 	page: autoDraw = True
58.6135 	EXP 	page: autoDraw = True
58.6295 	EXP 	page: autoDraw = True
58.6485 	EXP 	page: autoDraw = True
58.6648 	EXP 	page: autoDraw = True
58.7125 	EXP 	page: autoDraw = True
58.7285 	EXP 	page: autoDraw = True
58.7452 	EXP 	page: autoDraw = True
58.7642 	EXP 	page: autoDraw = True
58.7792 	EXP 	page: autoDraw = True
58.8295 	EXP 	page: autoDraw = True
58.8304 	DATA 	Mouse: Left button down, pos=(982,206)
58.8479 	EXP 	page: autoDraw = True
58.8479 	EXP 	stim8: color = '[0.1  0.1  0.25] (rgb)'
58.8647 	EXP 	page: autoDraw = True
58.8970 	EXP 	page: autoDraw = True
58.8981 	DATA 	Mouse:  Left button up, pos=(982,206)
58.9463 	EXP 	page: autoDraw = True
58.9639 	EXP 	page: autoDraw = True
58.9801 	EXP 	page: autoDraw = True
58.9965 	EXP 	page: autoDraw = True
59.0127 	EXP 	page: autoDraw = True
