51.6873 	EXP 	page: autoDraw = True
51.7142 	EXP 	page: autoDraw = True
51.7476 	EXP 	page: autoDraw = True
51.8159 	EXP 	page: autoDraw = True
51.8488 	EXP 	page: autoDraw = True
51.9092 	EXP 	page: autoDraw = True
51.9332 	EXP 	page: autoDraw = True
51.9659 	EXP 	page: autoDraw = True
52.0250 	EXP 	page: autoDraw = True
52.0492 	EXP 	page: autoDraw = True
52.0826 	EXP 	page: autoDraw = True
52.1388 	EXP 	page: autoDraw = True
52.1659 	EXP 	page: autoDraw = True
52.1979 	EXP 	page: autoDraw = True
52.2660 	EXP 	page: autoDraw = True
52.2995 	EXP 	page: autoDraw = True
52.3633 	EXP 	page: autoDraw = True
52.3869 	EXP 	page: autoDraw = True
52.4156 	EXP 	page: autoDraw = True
52.4776 	EXP 	page: autoDraw = True
52.5012 	EXP 	page: autoDraw = True
52.5323 	EXP 	page: autoDraw = True
52.5905 	EXP 	page: autoDraw = True
52.6154 	EXP 	page: autoDraw = True
52.6494 	EXP 	page: autoDraw = True
52.7155 	EXP 	page: autoDraw = True
52.7492 	EXP 	page: autoDraw = True
52.7835 	EXP 	page: autoDraw = True
52.8492 	EXP 	page: autoDraw = True
52.8825 	EXP 	page: autoDraw = True
52.9435 	EXP 	page: autoDraw = True
52.9669 	EXP 	page: autoDraw = True
52.9976 	EXP 	page: autoDraw = True
53.0530 	EXP 	page: autoDraw = True
53.0824 	EXP 	page: autoDraw = True
53.1158 	EXP 	page: autoDraw = True
53.1825 	EXP 	page: autoDraw = True
53.2156 	EXP 	page: autoDraw = True
53.2877 	EXP 	page: autoDraw = True
53.3158 	EXP 	page: autoDraw = True
53.3493 	EXP 	page: autoDraw = True
53.4158 	EXP 	page: autoDraw = True
53.4492 	EXP 	page: autoDraw = True
53.5183 	EXP 	page: autoDraw = True
53.5493 	EXP 	page: autoDraw = True
53.5827 	EXP 	page: autoDraw = True
53.6493 	EXP 	page: autoDraw = True
53.6824 	EXP 	page: autoDraw = True
53.7469 	EXP 	page: autoDraw = True
53.7824 	EXP 	page: autoDraw = True
53.8158 	EXP 	page: autoDraw = True
53.8581 	EXP 	page: autoDraw = True
53.8874 	EXP 	page: autoDraw = True
53.9147 	EXP 	page: autoDraw = True
53.9765 	EXP 	page: autoDraw = True
54.0001 	EXP 	page: autoDraw = True
54.0325 	EXP 	page: autoDraw = True
54.0905 	EXP 	page: autoDraw = True
54.1157 	EXP 	page: autoDraw = True
54.1491 	EXP 	page: autoDraw = True
54.2156 	EXP 	page: autoDraw = True
54.2500 	EXP 	page: autoDraw = True
54.3152 	EXP 	page: autoDraw = True
54.3492 	EXP 	page: autoDraw = True
54.3825 	EXP 	page: autoDraw = True
54.4341 	EXP 	page: autoDraw = True
54.4658 	EXP 	page: autoDraw = True
54.4998 	EXP 	page: autoDraw = True
54.5657 	EXP 	page: autoDraw = True
54.5991 	EXP 	page: autoDraw = True
54.6626 	EXP 	page: autoDraw = True
54.6854 	EXP 	page: autoDraw = True
54.7151 	EXP 	page: autoDraw = True
54.7739 	EXP 	page: autoDraw = True
54.7994 	EXP 	page: autoDraw = True
54.8325 	EXP 	page: autoDraw = True
54.8917 	EXP 	page: autoDraw = True
54.9156 	EXP 	page: autoDraw = True
54.9476 	EXP 	page: autoDraw = True
55.0043 	EXP 	page: autoDraw = True
55.0324 	EXP 	page: autoDraw = True
55.0662 	EXP 	page: autoDraw = True
55.1323 	EXP 	page: autoDraw = True
55.1656 	EXP 	page: autoDraw = True
55.2329 	EXP 	page: autoDraw = True
55.2656 	EXP 	page: autoDraw = True
55.2991 	EXP 	page: autoDraw = True
55.3659 	EXP 	page: autoDraw = True
55.3989 	EXP 	page: autoDraw = True
55.4602 	EXP 	page: autoDraw = True
55.4837 	EXP 	page: autoDraw = True
55.5147 	EXP 	page: autoDraw = True
55.5731 	EXP 	page: autoDraw = True
55.5989 	EXP 	page: autoDraw = True
55.6326 	EXP 	page: autoDraw = True
55.6901 	EXP 	page: autoDraw = True
55.7156 	EXP 	page: autoDraw = True
55.7491 	EXP 	page: autoDraw = True
55.8156 	EXP 	page: autoDraw = True
55.8495 	EXP 	page: autoDraw = True
55.9182 	EXP 	page: autoDraw = True
55.9493 	EXP 	page: autoDraw = True
55.9823 	EXP 	page: autoDraw = True
56.0492 	EXP 	page: autoDraw = True
56.0828 	EXP 	page: autoDraw = True
56.1461 	EXP 	page: autoDraw = True
56.1689 	EXP 	page: autoDraw = True
56.1976 	EXP 	page: autoDraw = True
56.2603 	EXP 	page: autoDraw = True
56.2843 	EXP 	page: autoDraw = True
56.3142 	EXP 	page: autoDraw = True
56.3711 	EXP 	page: autoDraw = True
56.3980 	EXP 	page: autoDraw = True
56.4300 	EXP 	page: autoDraw = True
56.4994 	EXP 	page: autoDraw = True
56.5324 	EXP 	page: autoDraw = True
56.5976 	EXP 	page: autoDraw = True
56.6323 	EXP 	page: autoDraw = True
56.6657 	EXP 	page: autoDraw = True
56.7325 	EXP 	page: autoDraw = True
56.7657 	EXP 	page: autoDraw = True
56.8326 	EXP 	page: autoDraw = True
56.8658 	EXP 	page: autoDraw = True
56.8992 	EXP 	page: autoDraw = True
56.9657 	EXP 	page: autoDraw = True
56.9988 	EXP 	page: autoDraw = True
57.0635 	EXP 	page: autoDraw = True
57.0869 	EXP 	page: autoDraw = True
57.1147 	EXP 	page: autoDraw = True
57.1729 	EXP 	page: autoDraw = True
57.1988 	EXP 	page: autoDraw = True
57.2328 	EXP 	page: autoDraw = True
57.2991 	EXP 	page: autoDraw = True
57.3322 	EXP 	page: autoDraw = True
57.3659 	EXP 	page: autoDraw = True
57.4329 	EXP 	page: autoDraw = True
57.4659 	EXP 	page: autoDraw = True
57.5268 	EXP 	page: autoDraw = True
57.5502 	EXP 	page: autoDraw = True
57.5810 	EXP 	page: autoDraw = True
57.6421 	EXP 	page: autoDraw = True
57.6661 	EXP 	page: autoDraw = True
57.6976 	EXP 	page: autoDraw = True
57.7530 	EXP 	page: autoDraw = True
57.7809 	EXP 	page: autoDraw = True
57.8142 	EXP 	page: autoDraw = True
57.8824 	EXP 	page: autoDraw = True
57.9155 	EXP 	page: autoDraw = True
57.9899 	EXP 	page: autoDraw = True
58.0156 	EXP 	page: autoDraw = True
58.0423 	EXP 	page: autoDraw = True
58.0605 	EXP 	page: autoDraw = True
58.1091 	EXP 	page: autoDraw = True
58.1099 	DATA 	Mouse: Left button down, pos=(708,99)
58.1278 	EXP 	page: autoDraw = True
58.1278 	EXP 	stim7: color = '[0.1  0.1  0.25] (rgb)'
58.1457 	EXP 	page: autoDraw = True
58.1625 	EXP 	page: autoDraw = True
58.2180 	EXP 	page: autoDraw = True
58.2425 	EXP 	page: autoDraw = True
58.2596 	EXP 	page: autoDraw = True
58.2759 	EXP 	page: autoDraw = True
58.2928 	EXP 	page: autoDraw = True
58.3419 	EXP 	page: autoDraw = True
58.3425 	DATA 	Mouse:  Left button up, pos=(708,99)
58.3595 	EXP 	page: autoDraw = True
58.3760 	EXP 	page: autoDraw = True
58.3958 	EXP 	page: autoDraw = True
58.4127 	EXP 	page: autoDraw = True
58.4584 	EXP 	page: autoDraw = True
58.4748 	EXP 	page: autoDraw = True
58.4914 	EXP 	page: autoDraw = True
58.5094 	EXP 	page: autoDraw = True
58.5251 	EXP 	page: autoDraw = True
58.5748 	EXP 	page: autoDraw = True
58.5918 	EXP 	page: autoDraw = True
58.6080 	EXP 	page: autoDraw = True
