29.0512 	EXP 	page: autoDraw = True
29.1181 	EXP 	page: autoDraw = True
29.1342 	EXP 	page: autoDraw = True
29.1521 	EXP 	page: autoDraw = True
29.1688 	EXP 	page: autoDraw = True
29.2176 	EXP 	page: autoDraw = True
29.2343 	EXP 	page: autoDraw = True
29.2503 	EXP 	page: autoDraw = True
29.2667 	EXP 	page: autoDraw = True
29.2839 	EXP 	page: autoDraw = True
29.3339 	EXP 	page: autoDraw = True
29.3506 	EXP 	page: autoDraw = True
29.3682 	EXP 	page: autoDraw = True
29.3852 	EXP 	page: autoDraw = True
29.4028 	EXP 	page: autoDraw = True
29.4504 	EXP 	page: autoDraw = True
29.4675 	EXP 	page: autoDraw = True
29.4873 	EXP 	page: autoDraw = True
29.5177 	EXP 	page: autoDraw = True
29.5681 	EXP 	page: autoDraw = True
29.5853 	EXP 	page: autoDraw = True
29.6019 	EXP 	page: autoDraw = True
29.6185 	EXP 	page: autoDraw = True
29.6346 	EXP 	page: autoDraw = True
29.7020 	EXP 	page: autoDraw = True
29.7198 	EXP 	page: autoDraw = True
29.7388 	EXP 	page: autoDraw = True
29.7937 	EXP 	page: autoDraw = True
29.8182 	EXP 	page: autoDraw = True
29.8358 	EXP 	page: autoDraw = True
29.8524 	EXP 	page: autoDraw = True
29.8696 	EXP 	page: autoDraw = True
29.9175 	EXP 	page: autoDraw = True
29.9343 	EXP 	page: autoDraw = True
29.9514 	EXP 	page: autoDraw = True
29.9671 	EXP 	page: autoDraw = True
29.9845 	EXP 	page: autoDraw = True
30.0334 	EXP 	page: autoDraw = True
30.0495 	EXP 	page: autoDraw = True
30.0666 	EXP 	page: autoDraw = True
30.0833 	EXP 	page: autoDraw = True
30.1317 	EXP 	page: autoDraw = True
30.1505 	EXP 	page: autoDraw = True
30.1674 	EXP 	page: autoDraw = True
30.1837 	EXP 	page: autoDraw = True
30.2010 	EXP 	page: autoDraw = True
30.2514 	EXP 	page: autoDraw = True
30.2692 	EXP 	page: autoDraw = True
30.2869 	EXP 	page: autoDraw = True
30.3031 	EXP 	page: autoDraw = True
30.3191 	EXP 	page: autoDraw = True
30.3677 	EXP 	page: autoDraw = True
30.3847 	EXP 	page: autoDraw = True
30.4023 	EXP 	page: autoDraw = True
30.4194 	EXP 	page: autoDraw = True
30.4360 	EXP 	page: autoDraw = True
30.5020 	EXP 	page: autoDraw = True
30.5189 	EXP 	page: autoDraw = True
30.5352 	EXP 	page: autoDraw = True
30.5535 	EXP 	page: autoDraw = True
30.6011 	EXP 	page: autoDraw = True
30.6176 	EXP 	page: autoDraw = True
30.6339 	EXP 	page: autoDraw = True
30.6506 	EXP 	page: autoDraw = True
30.6669 	EXP 	page: autoDraw = True
30.7174 	EXP 	page: autoDraw = True
30.7340 	EXP 	page: autoDraw = True
30.7504 	EXP 	page: autoDraw = True
30.7681 	EXP 	page: autoDraw = True
30.7857 	EXP 	page: autoDraw = True
30.8343 	EXP 	page: autoDraw = True
30.8517 	EXP 	page: autoDraw = True
30.8689 	EXP 	page: autoDraw = True
30.8887 	EXP 	page: autoDraw = True
30.9420 	EXP 	page: autoDraw = True
30.9682 	EXP 	page: autoDraw = True
30.9864 	EXP 	page: autoDraw = True
31.0032 	EXP 	page: autoDraw = True
31.0515 	EXP 	page: autoDraw = True
31.0687 	EXP 	page: autoDraw = True
31.0853 	EXP 	page: autoDraw = True
31.1025 	EXP 	page: autoDraw = True
31.1198 	EXP 	page: autoDraw = True
31.1846 	EXP 	page: autoDraw = True
31.2010 	EXP 	page: autoDraw = True
31.2170 	EXP 	page: autoDraw = True
31.2331 	EXP 	page: autoDraw = True
31.2842 	EXP 	page: autoDraw = True
31.3010 	EXP 	page: autoDraw = True
31.3172 	EXP 	page: autoDraw = True
31.3336 	EXP 	page: autoDraw = True
31.3505 	EXP 	page: autoDraw = True
31.4005 	EXP 	page: autoDraw = True
31.4174 	EXP 	page: autoDraw = True
31.4341 	EXP 	page: autoDraw = True
31.4521 	EXP 	page: autoDraw = True
31.4708 	EXP 	page: autoDraw = True
31.5173 	EXP 	page: autoDraw = True
31.5339 	EXP 	page: autoDraw = True
31.5504 	EXP 	page: autoDraw = True
31.5681 	EXP 	page: autoDraw = True
31.5856 	EXP 	page: autoDraw = True
31.6342 	EXP 	page: autoDraw = True
31.6508 	EXP 	page: autoDraw = True
31.6675 	EXP 	page: autoDraw = True
31.6842 	EXP 	page: autoDraw = True
31.7002 	EXP 	page: autoDraw = True
31.7508 	EXP 	page: autoDraw = True
31.7675 	EXP 	page: autoDraw = True
31.7850 	EXP 	page: autoDraw = True
31.8037 	EXP 	page: autoDraw = True
31.8686 	EXP 	page: autoDraw = True
31.8863 	EXP 	page: autoDraw = True
31.9048 	EXP 	page: autoDraw = True
31.9218 	EXP 	page: autoDraw = True
31.9682 	EXP 	page: autoDraw = True
31.9853 	EXP 	page: autoDraw = True
32.0025 	EXP 	page: autoDraw = True
32.0175 	EXP 	page: autoDraw = True
32.0338 	EXP 	page: autoDraw = True
32.0844 	EXP 	page: autoDraw = True
32.1019 	EXP 	page: autoDraw = True
32.1202 	EXP 	page: autoDraw = True
32.1366 	EXP 	page: autoDraw = True
32.1533 	EXP 	page: autoDraw = True
32.2010 	EXP 	page: autoDraw = True
32.2181 	EXP 	page: autoDraw = True
32.2352 	EXP 	page: autoDraw = True
32.2547 	EXP 	page: autoDraw = True
32.2721 	EXP 	page: autoDraw = True
32.3176 	EXP 	page: autoDraw = True
32.3340 	EXP 	page: autoDraw = True
32.3505 	EXP 	page: autoDraw = True
32.3679 	EXP 	page: autoDraw = True
32.3837 	EXP 	page: autoDraw = True
32.4342 	EXP 	page: autoDraw = True
32.4507 	EXP 	page: autoDraw = True
32.4673 	EXP 	page: autoDraw = True
32.4869 	EXP 	page: autoDraw = True
32.5408 	EXP 	page: autoDraw = True
32.5679 	EXP 	page: autoDraw = True
32.5866 	EXP 	page: autoDraw = True
32.6523 	EXP 	page: autoDraw = True
32.6692 	EXP 	page: autoDraw = True
32.6860 	EXP 	page: autoDraw = True
32.7047 	EXP 	page: autoDraw = True
32.7216 	EXP 	page: autoDraw = True
32.7681 	EXP 	page: autoDraw = True
32.7849 	EXP 	page: autoDraw = True
32.8019 	EXP 	page: autoDraw = True
32.8177 	EXP 	page: autoDraw = True
32.8340 	EXP 	page: autoDraw = True
32.9019 	EXP 	page: autoDraw = True
32.9188 	EXP 	page: autoDraw = True
32.9349 	EXP 	page: autoDraw = True
32.9532 	EXP 	page: autoDraw = True
33.0009 	EXP 	page: autoDraw = True
33.0178 	EXP 	page: autoDraw = True
33.0339 	EXP 	page: autoDraw = True
33.0499 	EXP 	page: autoDraw = True
33.0665 	EXP 	page: autoDraw = True
33.1175 	EXP 	page: autoDraw = True
33.1343 	EXP 	page: autoDraw = True
33.1503 	EXP 	page: autoDraw = True
33.1707 	EXP 	page: autoDraw = True
33.1877 	EXP 	page: autoDraw = True
33.2337 	EXP 	page: autoDraw = True
33.2517 	EXP 	page: autoDraw = True
33.2709 	EXP 	page: autoDraw = True
33.3007 	EXP 	page: autoDraw = True
33.3516 	EXP 	page: autoDraw = True
33.3689 	EXP 	page: autoDraw = True
33.3856 	EXP 	page: autoDraw = True
33.4018 	EXP 	page: autoDraw = True
33.4198 	EXP 	page: autoDraw = True
33.4679 	EXP 	page: autoDraw = True
33.4851 	EXP 	page: autoDraw = True
33.5024 	EXP 	page: autoDraw = True
33.5213 	EXP 	page: autoDraw = True
33.5370 	EXP 	page: autoDraw = True
33.5841 	EXP 	page: autoDraw = True
33.6012 	EXP 	page: autoDraw = True
33.6188 	EXP 	page: autoDraw = True
33.6355 	EXP 	page: autoDraw = True
33.6522 	EXP 	page: autoDraw = True
33.7015 	EXP 	page: autoDraw = True
33.7179 	EXP 	page: autoDraw = True
33.7344 	EXP 	page: autoDraw = True
33.7503 	EXP 	page: autoDraw = True
